candidate_id,rank,score,reasoning
CAND_0018499,1,0.803273407449267,"7.2-year Senior Machine Learning Engineer with deep expertise in vector search, FAISS, and hybrid retrieval and NLP, embeddings, and representation learning; brings strong FAANG/product product experience; location: Noida, Uttar Pradesh (15d notice). Perfect founding-team fit."
CAND_0081846,2,0.7512082288964231,"Highly qualified Lead AI Engineer with 6.7 years in applied ML; expert in vector search, FAISS, and hybrid retrieval and NLP, embeddings, and representation learning with a strong product/startup background. Ready for hybrid Noida/Pune cadence."
CAND_0002025,3,0.7405137854065049,"Highly qualified Senior AI Engineer with 5.9 years in applied ML; expert in vector search, FAISS, and hybrid retrieval and applied machine learning and predictive modeling with a strong mixed engineering background. Ready for hybrid Noida/Pune cadence."
CAND_0053591,4,0.7195995549793315,"5.3-year AI Engineer with deep expertise in large language models, fine-tuning, and PyTorch and NLP, embeddings, and representation learning; brings strong product/startup product experience; location: Toronto (60d notice). Perfect founding-team fit."
CAND_0082086,5,0.7107590331815131,"Highly qualified Senior Software Engineer (ML) with 6.0 years in applied ML; expert in vector search, FAISS, and hybrid retrieval and NLP, embeddings, and representation learning with a strong product/startup background. Ready for hybrid Noida/Pune cadence."
CAND_0024147,6,0.6800709918702477,"Highly qualified ML Engineer with 5.9 years in applied ML; expert in data pipelines, Apache Spark, and database indexing and applied machine learning and predictive modeling with a strong product/startup background. Ready for hybrid Noida/Pune cadence."
CAND_0037566,7,0.6781835825388731,"Highly qualified Machine Learning Engineer with 6.9 years in applied ML; expert in large language models, fine-tuning, and PyTorch and NLP, embeddings, and representation learning with a strong mixed engineering background. Ready for hybrid Noida/Pune cadence."
CAND_0068351,8,0.6663354553524283,"6.4-year Lead AI Engineer with deep expertise in applied machine learning and predictive modeling and NLP, embeddings, and representation learning; brings strong mixed engineering product experience; location: Delhi, Delhi (0d notice). Perfect founding-team fit."
CAND_0079387,9,0.6649223438574758,"Highly qualified AI Engineer with 6.9 years in applied ML; expert in applied machine learning and predictive modeling and NLP, embeddings, and representation learning with a strong mixed engineering background. Ready for hybrid Noida/Pune cadence."
CAND_0018888,10,0.6563054069080795,"Highly qualified AI Research Engineer with 6.5 years in applied ML; expert in applied machine learning and predictive modeling and NLP, embeddings, and representation learning with a strong FAANG/product background. Ready for hybrid Noida/Pune cadence."
CAND_0032527,11,0.6563053969080794,"3.9-year Junior ML Engineer with deep expertise in vector search, FAISS, and hybrid retrieval and data pipelines, Apache Spark, and database indexing; brings strong product/startup product experience; location: Ahmedabad, Gujarat (30d notice). Perfect founding-team fit."
CAND_0052431,12,0.6563053869080794,"5.3-year ML Engineer with deep expertise in large language models, fine-tuning, and PyTorch and NLP, embeddings, and representation learning; brings strong FAANG/product product experience; location: Ahmedabad, Gujarat (45d notice). Perfect founding-team fit."
CAND_0068910,13,0.6563053769080793,"Highly qualified Senior Software Engineer with 5.7 years in applied ML; expert in data pipelines, Apache Spark, and database indexing and vector search, FAISS, and hybrid retrieval with a strong product/startup background. Ready for hybrid Noida/Pune cadence."
CAND_0093912,14,0.6563053669080793,"Highly qualified Senior Data Scientist with 5.3 years in applied ML; expert in large language models, fine-tuning, and PyTorch and NLP, embeddings, and representation learning with a strong FAANG/product background. Ready for hybrid Noida/Pune cadence."
CAND_0030031,15,0.6563053569080792,"5.7-year AI Engineer with deep expertise in NLP, embeddings, and representation learning and vector search, FAISS, and hybrid retrieval; brings strong FAANG/product product experience; location: Trivandrum, Kerala (30d notice). Perfect founding-team fit."
CAND_0098846,16,0.6537291197328817,"Solid AI Engineer with 7.6 years of ML experience; strong match in vector search, FAISS, and hybrid retrieval and NLP, embeddings, and representation learning from FAANG/product companies. Minor concern: limited direct evidence of high-scale vector database deployment, but remains a highly competitive candidate."
CAND_0054123,17,0.6523411453117037,"Solid Applied ML Engineer with 4.7 years of ML experience; strong match in vector search, FAISS, and hybrid retrieval and NLP, embeddings, and representation learning from FAANG/product companies. Minor concern: activity recency indicates they are not actively looking (last login 49 days ago), but remains a highly competitive candidate."
CAND_0080766,18,0.6470791877347356,"Experienced Staff Machine Learning Engineer (8.8 yrs) with good expertise in vector search, FAISS, and hybrid retrieval and applied machine learning and predictive modeling. While there is a concern regarding notice period of 0 days will require buyout support, their technical depth offsets this gap."
CAND_0064969,19,0.6350547342678343,"6.1 years in AI engineering as a Senior Software Engineer; demonstrates strong hands-on skills in large language models, fine-tuning, and PyTorch and vector search, FAISS, and hybrid retrieval. Acknowledge concern on activity recency indicates they are not actively looking (last login 41 days ago); otherwise a very strong profile."
CAND_0071974,20,0.6344610412238342,"7.8 years in AI engineering as a Senior AI Engineer; demonstrates strong hands-on skills in data pipelines, Apache Spark, and database indexing and vector search, FAISS, and hybrid retrieval. Acknowledge concern on activity recency indicates they are not actively looking (last login 71 days ago); otherwise a very strong profile."
